t0,10/7/2021  20:02:08.356288
delta t,0.010000

time,Y
10/7/2021  20:02:11.536288,0.317483
10/7/2021  20:02:11.546288,0.317154
10/7/2021  20:02:11.556288,0.315840
10/7/2021  20:02:11.566288,0.317483
10/7/2021  20:02:11.576288,0.318468
10/7/2021  20:02:11.586288,0.317811
10/7/2021  20:02:11.596288,0.318468
10/7/2021  20:02:11.606288,0.317483
10/7/2021  20:02:11.616288,0.316826
10/7/2021  20:02:11.626288,0.316497
10/7/2021  20:02:11.636288,0.323066
10/7/2021  20:02:11.646288,0.332592
10/7/2021  20:02:11.656288,0.319125
10/7/2021  20:02:11.666288,0.317483
10/7/2021  20:02:11.676288,0.316169
10/7/2021  20:02:11.686288,0.316169
10/7/2021  20:02:11.696288,0.315512
10/7/2021  20:02:11.706288,0.316169
10/7/2021  20:02:11.716288,0.320110
10/7/2021  20:02:11.726288,0.330292
10/7/2021  20:02:11.736288,0.339489
10/7/2021  20:02:11.746288,0.343759
10/7/2021  20:02:11.756288,0.318797
10/7/2021  20:02:11.766288,0.316497
10/7/2021  20:02:11.776288,0.317154
10/7/2021  20:02:11.786288,0.317811
10/7/2021  20:02:11.796288,0.326023
10/7/2021  20:02:11.806288,0.334234
10/7/2021  20:02:11.816288,0.341460
10/7/2021  20:02:11.826288,0.342774
10/7/2021  20:02:11.836288,0.336205
10/7/2021  20:02:11.846288,0.328322
10/7/2021  20:02:11.856288,0.316497
10/7/2021  20:02:11.866288,0.315840
10/7/2021  20:02:11.876288,0.317154
10/7/2021  20:02:11.886288,0.316826
10/7/2021  20:02:11.896288,0.325037
10/7/2021  20:02:11.906288,0.331935
10/7/2021  20:02:11.916288,0.339489
10/7/2021  20:02:11.926288,0.341788
10/7/2021  20:02:11.936288,0.337518
10/7/2021  20:02:11.946288,0.327665
10/7/2021  20:02:11.956288,0.323723
10/7/2021  20:02:11.966288,0.319453
10/7/2021  20:02:11.976288,0.316169
10/7/2021  20:02:11.986288,0.316497
10/7/2021  20:02:11.996288,0.317811
10/7/2021  20:02:12.006288,0.315512
10/7/2021  20:02:12.016288,0.316497
10/7/2021  20:02:12.026288,0.316826
10/7/2021  20:02:12.036288,0.315184
10/7/2021  20:02:12.046288,0.315184
10/7/2021  20:02:12.056288,0.333577
10/7/2021  20:02:12.066288,0.340803
10/7/2021  20:02:12.076288,0.345073
10/7/2021  20:02:12.086288,0.338504
10/7/2021  20:02:12.096288,0.328979
10/7/2021  20:02:12.106288,0.327008
10/7/2021  20:02:12.116288,0.321424
10/7/2021  20:02:12.126288,0.315184
10/7/2021  20:02:12.136288,0.315184
10/7/2021  20:02:12.146288,0.315512
10/7/2021  20:02:12.156288,0.316169
10/7/2021  20:02:12.166288,0.315840
10/7/2021  20:02:12.176288,0.318468
10/7/2021  20:02:12.186288,0.318797
10/7/2021  20:02:12.196288,0.319782
10/7/2021  20:02:12.206288,0.316497
10/7/2021  20:02:12.216288,0.317154
10/7/2021  20:02:12.226288,0.317811
10/7/2021  20:02:12.236288,0.328979
10/7/2021  20:02:12.246288,0.337518
10/7/2021  20:02:12.256288,0.316169
10/7/2021  20:02:12.266288,0.317483
10/7/2021  20:02:12.276288,0.316497
10/7/2021  20:02:12.286288,0.319453
10/7/2021  20:02:12.296288,0.316826
10/7/2021  20:02:12.306288,0.316169
10/7/2021  20:02:12.316288,0.321424
10/7/2021  20:02:12.326288,0.329636
10/7/2021  20:02:12.336288,0.338175
10/7/2021  20:02:12.346288,0.342774
10/7/2021  20:02:12.356288,0.316497
10/7/2021  20:02:12.366288,0.315512
10/7/2021  20:02:12.376288,0.316169
10/7/2021  20:02:12.386288,0.317811
10/7/2021  20:02:12.396288,0.318468
10/7/2021  20:02:12.406288,0.316169
10/7/2021  20:02:12.416288,0.317154
10/7/2021  20:02:12.426288,0.318468
10/7/2021  20:02:12.436288,0.326023
10/7/2021  20:02:12.446288,0.335876
10/7/2021  20:02:12.456288,0.338175
10/7/2021  20:02:12.466288,0.343431
10/7/2021  20:02:12.476288,0.341460
10/7/2021  20:02:12.486288,0.333577
10/7/2021  20:02:12.496288,0.328322
10/7/2021  20:02:12.506288,0.322410
10/7/2021  20:02:12.516288,0.316497
10/7/2021  20:02:12.526288,0.316169
10/7/2021  20:02:12.536288,0.317811
10/7/2021  20:02:12.546288,0.317154
10/7/2021  20:02:12.556288,0.316497
10/7/2021  20:02:12.566288,0.316497
10/7/2021  20:02:12.576288,0.317154
10/7/2021  20:02:12.586288,0.318140
10/7/2021  20:02:12.596288,0.319782
10/7/2021  20:02:12.606288,0.316497
10/7/2021  20:02:12.616288,0.318468
10/7/2021  20:02:12.626288,0.320439
10/7/2021  20:02:12.636288,0.330621
10/7/2021  20:02:12.646288,0.337518
10/7/2021  20:02:12.656288,0.328322
10/7/2021  20:02:12.666288,0.336205
10/7/2021  20:02:12.676288,0.340803
10/7/2021  20:02:12.686288,0.340475
10/7/2021  20:02:12.696288,0.332592
10/7/2021  20:02:12.706288,0.327665
10/7/2021  20:02:12.716288,0.323066
10/7/2021  20:02:12.726288,0.315184
10/7/2021  20:02:12.736288,0.315840
10/7/2021  20:02:12.746288,0.316497
10/7/2021  20:02:12.756288,0.314527
10/7/2021  20:02:12.766288,0.314855
10/7/2021  20:02:12.776288,0.316169
10/7/2021  20:02:12.786288,0.318140
10/7/2021  20:02:12.796288,0.316169
10/7/2021  20:02:12.806288,0.316826
10/7/2021  20:02:12.816288,0.319782
10/7/2021  20:02:12.826288,0.327665
10/7/2021  20:02:12.836288,0.337847
10/7/2021  20:02:12.846288,0.342774
10/7/2021  20:02:12.856288,0.324380
10/7/2021  20:02:12.866288,0.334234
10/7/2021  20:02:12.876288,0.341460
10/7/2021  20:02:12.886288,0.343431
10/7/2021  20:02:12.896288,0.336862
10/7/2021  20:02:12.906288,0.329307
10/7/2021  20:02:12.916288,0.325694
10/7/2021  20:02:12.926288,0.320439
10/7/2021  20:02:12.936288,0.315840
10/7/2021  20:02:12.946288,0.315512
10/7/2021  20:02:12.956288,0.318140
10/7/2021  20:02:12.966288,0.326679
10/7/2021  20:02:12.976288,0.337518
10/7/2021  20:02:12.986288,0.342445
10/7/2021  20:02:12.996288,0.341460
10/7/2021  20:02:13.006288,0.337518
10/7/2021  20:02:13.016288,0.327993
10/7/2021  20:02:13.026288,0.326023
10/7/2021  20:02:13.036288,0.319782
10/7/2021  20:02:13.046288,0.316497
10/7/2021  20:02:13.056288,0.331935
10/7/2021  20:02:13.066288,0.340803
10/7/2021  20:02:13.076288,0.343102
10/7/2021  20:02:13.086288,0.339489
10/7/2021  20:02:13.096288,0.330621
10/7/2021  20:02:13.106288,0.326023
10/7/2021  20:02:13.116288,0.322410
10/7/2021  20:02:13.126288,0.316497
10/7/2021  20:02:13.136288,0.315840
10/7/2021  20:02:13.146288,0.316169
10/7/2021  20:02:13.156288,0.342117
10/7/2021  20:02:13.166288,0.336205
10/7/2021  20:02:13.176288,0.330292
10/7/2021  20:02:13.186288,0.325037
10/7/2021  20:02:13.196288,0.319782
10/7/2021  20:02:13.206288,0.316497
10/7/2021  20:02:13.216288,0.315184
10/7/2021  20:02:13.226288,0.316169
10/7/2021  20:02:13.236288,0.318468
10/7/2021  20:02:13.246288,0.318140
10/7/2021  20:02:13.256288,0.328979
10/7/2021  20:02:13.266288,0.324380
10/7/2021  20:02:13.276288,0.318797
10/7/2021  20:02:13.286288,0.316826
10/7/2021  20:02:13.296288,0.316497
10/7/2021  20:02:13.306288,0.317154
10/7/2021  20:02:13.316288,0.316169
10/7/2021  20:02:13.326288,0.316826
10/7/2021  20:02:13.336288,0.316497
10/7/2021  20:02:13.346288,0.315184
10/7/2021  20:02:13.356288,0.315840
10/7/2021  20:02:13.366288,0.316169
10/7/2021  20:02:13.376288,0.316826
10/7/2021  20:02:13.386288,0.315512
10/7/2021  20:02:13.396288,0.317811
10/7/2021  20:02:13.406288,0.318797
10/7/2021  20:02:13.416288,0.315512
10/7/2021  20:02:13.426288,0.318468
10/7/2021  20:02:13.436288,0.317811
10/7/2021  20:02:13.446288,0.325037
10/7/2021  20:02:13.456288,0.320110
10/7/2021  20:02:13.466288,0.315840
10/7/2021  20:02:13.476288,0.317483
10/7/2021  20:02:13.486288,0.315512
10/7/2021  20:02:13.496288,0.315184
10/7/2021  20:02:13.506288,0.316826
10/7/2021  20:02:13.516288,0.318468
10/7/2021  20:02:13.526288,0.316826
10/7/2021  20:02:13.536288,0.316826
10/7/2021  20:02:13.546288,0.317811
10/7/2021  20:02:13.556288,0.320439
10/7/2021  20:02:13.566288,0.314855
10/7/2021  20:02:13.576288,0.317483
10/7/2021  20:02:13.586288,0.315184
10/7/2021  20:02:13.596288,0.316169
10/7/2021  20:02:13.606288,0.316169
10/7/2021  20:02:13.616288,0.318797
10/7/2021  20:02:13.626288,0.315184
10/7/2021  20:02:13.636288,0.317154
10/7/2021  20:02:13.646288,0.317483
10/7/2021  20:02:13.656288,0.317154
10/7/2021  20:02:13.666288,0.317154
10/7/2021  20:02:13.676288,0.321424
10/7/2021  20:02:13.686288,0.330292
10/7/2021  20:02:13.696288,0.338175
10/7/2021  20:02:13.706288,0.341788
10/7/2021  20:02:13.716288,0.340146
10/7/2021  20:02:13.726288,0.331935
10/7/2021  20:02:13.736288,0.327993
10/7/2021  20:02:13.746288,0.322410
10/7/2021  20:02:13.756288,0.317154
10/7/2021  20:02:13.766288,0.316497
10/7/2021  20:02:13.776288,0.316169
10/7/2021  20:02:13.786288,0.317483
10/7/2021  20:02:13.796288,0.323066
10/7/2021  20:02:13.806288,0.330949
10/7/2021  20:02:13.816288,0.339818
10/7/2021  20:02:13.826288,0.342117
10/7/2021  20:02:13.836288,0.338175
10/7/2021  20:02:13.846288,0.328979
10/7/2021  20:02:13.856288,0.327665
10/7/2021  20:02:13.866288,0.325694
10/7/2021  20:02:13.876288,0.321096
10/7/2021  20:02:13.886288,0.318140
10/7/2021  20:02:13.896288,0.317483
10/7/2021  20:02:13.906288,0.315840
10/7/2021  20:02:13.916288,0.316826
10/7/2021  20:02:13.926288,0.316169
10/7/2021  20:02:13.936288,0.317483
10/7/2021  20:02:13.946288,0.315840
10/7/2021  20:02:13.956288,0.316169
10/7/2021  20:02:13.966288,0.318468
10/7/2021  20:02:13.976288,0.319782
10/7/2021  20:02:13.986288,0.318468
10/7/2021  20:02:13.996288,0.316169
10/7/2021  20:02:14.006288,0.313870
10/7/2021  20:02:14.016288,0.315512
10/7/2021  20:02:14.026288,0.317483
10/7/2021  20:02:14.036288,0.323395
10/7/2021  20:02:14.046288,0.332592
